TID,GID,gene_symbol
ENST00000610480,ENSG00000276218,KIR2DL3
ENST00000617657,ENSG00000275623,KIR2DL3
ENST00000618884,ENSG00000274935,LILRA1
ENST00000616835,ENSG00000273775,KIR3DL1-205
ENST00000618648,ENSG00000276979,KIR2DL4
ENST00000617188,ENSG00000262111,TAS2R30
ENST00000612757,ENSG00000274511,KIR3DL3
ENST00000618401,ENSG00000274952,KIR2DL3
ENST00000621458,ENSG00000274952,KIR2DL3
ENST00000621670,ENSG00000230855,OR2J3
ENST00000615963,ENSG00000263090,KRTAP9-2
ENST00000610933,ENSG00000267728,KRTAP9-9
ENST00000549916,ENSG00000226033,STK19
ENST00000622004,ENSG00000276468,KIR2DP1
ENST00000613362,ENSG00000276468,KIR2DP1
ENST00000621887,ENSG00000276468,KIR2DP1
ENST00000620286,ENSG00000276468,KIR2DP1
ENST00000611070,ENSG00000276468,KIR2DP1
ENST00000612755,ENSG00000274830,KIR2DL3
ENST00000617663,ENSG00000277585,MUC4
ENST00000621490,ENSG00000278111,TAS2R46
ENST00000628358,ENSG00000281748,GSTTP1
ENST00000627837,ENSG00000281748,GSTTP1
ENST00000629835,ENSG00000281748,GSTTP1
ENST00000635533,ENSG00000282839,RPS4XP18
ENST00000634754,ENSG00000283070,PRSS30P
ENST00000636383,ENSG00000283248,PRAMEF33P
ENST00000627423,ENSG00000281518,FOXO6
ENST00000631823,ENSG00000282792,PRAMEF22
ENST00000633764,ENSG00000282792,PRAMEF22
ENST00000613225,ENSG00000283348,PRAMEF25
ENST00000614566,ENSG00000274412,KIR2DL2
ENST00000616583,ENSG00000275608,KIR3DS1
ENST00000617104,ENSG00000275946,KIR2DL5B
ENST00000617419,ENSG00000275583,KIR2DS2
ENST00000619911,ENSG00000274283,KIR3DS1
ENST00000619593,ENSG00000274707,KIR2DL5B
ENST00000618413,ENSG00000278414,KIR2DL5B
ENST00000613810,ENSG00000277251,KIR2DL2
ENST00000615268,ENSG00000278620,KRTAP5-4
ENST00000612992,ENSG00000275914,KIR2DL2
ENST00000570574,ENSG00000262315,OR8U8
ENST00000620664,ENSG00000278731,KIR2DL2
ENST00000615275,ENSG00000276498,KIR3DS1
ENST00000619239,ENSG00000275546,KIR2DL2
ENST00000618017,ENSG00000275436,KIR2DL5B
